MONTH,TIME PERIOD,,DEPOSIT_FACILITY_RATE
31-01-1999,1-Jan-99,,2
31-01-1999,4-Jan-99,,2.75
31-01-1999,22-Jan-99,,2
30-04-1999,9-Apr-99,,1.5
30-11-1999,5-Nov-99,,2
29-02-2000,4-Feb-00,,2.25
31-03-2000,17-Mar-00,,2.5
30-04-2000,28-Apr-00,,2.75
30-06-2000,9-Jun-00,,3.25
30-06-2000,28-Jun-00,,3.25
30-09-2000,1-Sep-00,,3.5
31-10-2000,6-Oct-00,,3.75
31-05-2001,11-May-01,,3.5
31-08-2001,31-Aug-01,,3.25
30-09-2001,18-Sep-01,,2.75
30-11-2001,9-Nov-01,,2.25
31-12-2002,6-Dec-02,,1.75
31-03-2003,7-Mar-03,,1.5
30-06-2003,6-Jun-03,,1
31-12-2005,6-Dec-05,,1.25
31-03-2006,8-Mar-06,,1.5
30-06-2006,15-Jun-06,,1.75
31-08-2006,9-Aug-06,,2
31-10-2006,11-Oct-06,,2.25
31-12-2006,13-Dec-06,,2.5
31-03-2007,14-Mar-07,,2.75
30-06-2007,13-Jun-07,,3
31-07-2008,9-Jul-08,,3.25
31-10-2008,8-Oct-08,,2.75
31-10-2008,9-Oct-08,,3.25
31-10-2008,15-Oct-08,,3.25
30-11-2008,12-Nov-08,,2.75
31-12-2008,10-Dec-08,,2
31-01-2009,21-Jan-09,,1
31-03-2009,11-Mar-09,,0.5
30-04-2009,8-Apr-09,,0.25
31-05-2009,13-May-09,,0.25
30-04-2011,13-Apr-11,,0.5
31-07-2011,13-Jul-11,,0.75
30-11-2011,9-Nov-11,,0.5
31-12-2011,14-Dec-11,,0.25
31-07-2012,11-Jul-12,,0.00E+00
31-05-2013,8-May-13,,0.00E+00
30-11-2013,13-Nov-13,,0.00E+00
30-06-2014,11-Jun-14,,-0.1
30-09-2014,10-Sep-14,,-0.2
31-12-2015,9-Dec-15,,-0.3
31-03-2016,16-Mar-16,,-0.4
30-09-2019,18-Sep-19,,-0.5
31-07-2022,27-Jul-22,,0.00E+00
30-09-2022,14-Sep-22,,0.75
30-11-2022,2-Nov-22,,1.5
31-12-2022,21-Dec-22,,2
28-02-2023,8-Feb-23,,2.5
31-03-2023,22-Mar-23,,3
31-05-2023,10-May-23,,3.25
30-06-2023,21-Jun-23,,3.5
31-08-2023,2-Aug-23,,3.75
30-09-2023,20-Sep-23,,4
30-06-2024,12-Jun-24,,3.75
30-09-2024,18-Sep-24,,3.5
31-10-2024,23-Oct-24,,3.25
31-12-2024,18-Dec-24,,3
28-02-2025,5-Feb-25,,2.75
31-03-2025,12-Mar-25,,2.5
30-04-2025,23-Apr-25,,2.25
30-06-2025,11-Jun-25,,2
30-06-2026,17-Jun-26,,2.25
