DATE,TIME_PERIOD,ECB_RATE
01-01-1999,01-01-1999,3
04-01-1999,04-01-1999,3
22-01-1999,22-01-1999,3
09-04-1999,09-04-1999,2.5
05-11-1999,05-11-1999,3
04-02-2000,04-02-2000,3.25
17-03-2000,17-03-2000,3.5
28-04-2000,28-04-2000,3.75
09-06-2000,09-06-2000,4.25
15-10-2008,15-10-2008,3.75
12-11-2008,12-11-2008,3.25
10-12-2008,10-12-2008,2.5
21-01-2009,21-01-2009,2
11-03-2009,11-03-2009,1.5
08-04-2009,08-04-2009,1.25
13-05-2009,13-05-2009,1
13-04-2011,13-04-2011,1.25
13-07-2011,13-07-2011,1.5
09-11-2011,09-11-2011,1.25
14-12-2011,14-12-2011,1
11-07-2012,11-07-2012,0.75
08-05-2013,08-05-2013,0.5
13-11-2013,13-11-2013,0.25
11-06-2014,11-06-2014,0.15
10-09-2014,10-09-2014,0.05
09-12-2015,09-12-2015,0.05
16-03-2016,16-03-2016,0.00E+00
18-09-2019,18-09-2019,0.00E+00
27-07-2022,27-07-2022,0.5
14-09-2022,14-09-2022,1.25
02-11-2022,02-11-2022,2
21-12-2022,21-12-2022,2.5
08-02-2023,08-02-2023,3
22-03-2023,22-03-2023,3.5
10-05-2023,10-05-2023,3.75
21-06-2023,21-06-2023,4
02-08-2023,02-08-2023,4.25
20-09-2023,20-09-2023,4.5
12-06-2024,12-06-2024,4.25
18-09-2024,18-09-2024,3.65
23-10-2024,23-10-2024,3.4
18-12-2024,18-12-2024,3.15
05-02-2025,05-02-2025,2.9
12-03-2025,12-03-2025,2.65
23-04-2025,23-04-2025,2.4
11-06-2025,11-06-2025,2.15
