DATE,TIME PERIOD,overnight_deposits_from_households
31-01-2000,2000Jan,1.29
29-02-2000,2000Feb,1.27
31-03-2000,2000Mar,1.28
30-04-2000,2000Apr,1.3
31-05-2000,2000May,1.32
30-06-2000,2000Jun,1.39
31-07-2000,2000Jul,1.4
31-08-2000,2000Aug,1.43
30-09-2000,2000Sep,1.45
31-10-2000,2000Oct,1.48
30-11-2000,2000Nov,1.51
31-12-2000,2000Dec,1.49
31-01-2001,2001Jan,1.42
28-02-2001,2001Feb,1.44
31-03-2001,2001Mar,1.44
30-04-2001,2001Apr,1.45
31-05-2001,2001May,1.4
30-06-2001,2001Jun,1.38
31-07-2001,2001Jul,1.37
31-08-2001,2001Aug,1.38
30-09-2001,2001Sep,1.26
31-10-2001,2001Oct,1.18
30-11-2001,2001Nov,1.1
31-12-2001,2001Dec,1.07
31-01-2002,2002Jan,1.05
28-02-2002,2002Feb,1.05
31-03-2002,2002Mar,1.06
30-04-2002,2002Apr,1.06
31-05-2002,2002May,1.06
30-06-2002,2002Jun,1.04
31-07-2002,2002Jul,1.05
31-08-2002,2002Aug,1.04
30-09-2002,2002Sep,1.03
31-10-2002,2002Oct,1.01
30-11-2002,2002Nov,1.02
31-12-2002,2002Dec,0.92
31-01-2003,2003Jan,0.89
28-02-2003,2003Feb,0.91
31-03-2003,2003Mar,0.87
30-04-2003,2003Apr,0.84
31-05-2003,2003May,0.85
30-06-2003,2003Jun,0.76
31-07-2003,2003Jul,0.69
31-08-2003,2003Aug,0.68
30-09-2003,2003Sep,0.69
31-10-2003,2003Oct,0.69
30-11-2003,2003Nov,0.69
31-12-2003,2003Dec,0.7
31-01-2004,2004Jan,0.7
29-02-2004,2004Feb,0.7
31-03-2004,2004Mar,0.71
30-04-2004,2004Apr,0.7
31-05-2004,2004May,0.71
30-06-2004,2004Jun,0.7
31-07-2004,2004Jul,0.7
31-08-2004,2004Aug,0.72
30-09-2004,2004Sep,0.72
31-10-2004,2004Oct,0.72
30-11-2004,2004Nov,0.73
31-12-2004,2004Dec,0.73
31-01-2005,2005Jan,0.74
28-02-2005,2005Feb,0.74
31-03-2005,2005Mar,0.74
30-04-2005,2005Apr,0.74
31-05-2005,2005May,0.75
30-06-2005,2005Jun,0.7
31-07-2005,2005Jul,0.68
31-08-2005,2005Aug,0.68
30-09-2005,2005Sep,0.69
31-10-2005,2005Oct,0.69
30-11-2005,2005Nov,0.7
31-12-2005,2005Dec,0.71
31-01-2006,2006Jan,0.73
28-02-2006,2006Feb,0.74
31-03-2006,2006Mar,0.76
30-04-2006,2006Apr,0.79
31-05-2006,2006May,0.79
30-06-2006,2006Jun,0.81
31-07-2006,2006Jul,0.81
31-08-2006,2006Aug,0.85
30-09-2006,2006Sep,0.86
31-10-2006,2006Oct,0.9
30-11-2006,2006Nov,0.91
31-12-2006,2006Dec,0.92
31-01-2007,2007Jan,0.98
28-02-2007,2007Feb,1
31-03-2007,2007Mar,1.02
30-04-2007,2007Apr,1.04
31-05-2007,2007May,1.06
30-06-2007,2007Jun,1.08
31-07-2007,2007Jul,1.1
31-08-2007,2007Aug,1.14
30-09-2007,2007Sep,1.16
31-10-2007,2007Oct,1.17
30-11-2007,2007Nov,1.18
31-12-2007,2007Dec,1.18
31-01-2008,2008Jan,1.2
29-02-2008,2008Feb,1.21
31-03-2008,2008Mar,1.22
30-04-2008,2008Apr,1.22
31-05-2008,2008May,1.23
30-06-2008,2008Jun,1.24
31-07-2008,2008Jul,1.26
31-08-2008,2008Aug,1.29
30-09-2008,2008Sep,1.32
31-10-2008,2008Oct,1.34
30-11-2008,2008Nov,1.29
31-12-2008,2008Dec,1.16
31-01-2009,2009Jan,1.02
28-02-2009,2009Feb,0.9
31-03-2009,2009Mar,0.8
30-04-2009,2009Apr,0.66
31-05-2009,2009May,0.61
30-06-2009,2009Jun,0.56
31-07-2009,2009Jul,0.52
31-08-2009,2009Aug,0.5
30-09-2009,2009Sep,0.49
31-10-2009,2009Oct,0.46
30-11-2009,2009Nov,0.46
31-12-2009,2009Dec,0.45
31-01-2010,2010Jan,0.43
28-02-2010,2010Feb,0.42
31-03-2010,2010Mar,0.42
30-04-2010,2010Apr,0.41
31-05-2010,2010May,0.4
30-06-2010,2010Jun,0.42
31-07-2010,2010Jul,0.41
