DATE,TIME PERIOD,cost_of_borrowing_for_corporations
31-01-2003,2003Jan,4.54
28-02-2003,2003Feb,4.46
31-03-2003,2003Mar,4.39
30-04-2003,2003Apr,4.33
31-05-2003,2003May,4.26
30-06-2003,2003Jun,4.01
31-07-2003,2003Jul,3.93
31-08-2003,2003Aug,3.97
30-09-2003,2003Sep,3.93
31-10-2003,2003Oct,3.93
30-11-2003,2003Nov,3.88
31-12-2003,2003Dec,3.92
31-01-2004,2004Jan,3.91
29-02-2004,2004Feb,3.88
31-03-2004,2004Mar,3.82
30-04-2004,2004Apr,3.83
31-05-2004,2004May,3.85
30-06-2004,2004Jun,3.82
31-07-2004,2004Jul,3.84
31-08-2004,2004Aug,3.82
30-09-2004,2004Sep,3.85
31-10-2004,2004Oct,3.83
30-11-2004,2004Nov,3.8
31-12-2004,2004Dec,3.78
31-01-2005,2005Jan,3.8
28-02-2005,2005Feb,3.8
31-03-2005,2005Mar,3.79
30-04-2005,2005Apr,3.75
31-05-2005,2005May,3.71
30-06-2005,2005Jun,3.66
31-07-2005,2005Jul,3.66
31-08-2005,2005Aug,3.67
30-09-2005,2005Sep,3.66
31-10-2005,2005Oct,3.67
30-11-2005,2005Nov,3.77
31-12-2005,2005Dec,3.83
31-01-2006,2006Jan,3.87
28-02-2006,2006Feb,3.95
31-03-2006,2006Mar,4.08
30-04-2006,2006Apr,4.14
31-05-2006,2006May,4.19
30-06-2006,2006Jun,4.29
31-07-2006,2006Jul,4.39
31-08-2006,2006Aug,4.5
30-09-2006,2006Sep,4.54
31-10-2006,2006Oct,4.7
30-11-2006,2006Nov,4.79
31-12-2006,2006Dec,4.89
31-01-2007,2007Jan,4.91
28-02-2007,2007Feb,4.99
31-03-2007,2007Mar,5.1
30-04-2007,2007Apr,5.15
31-05-2007,2007May,5.17
30-06-2007,2007Jun,5.3
31-07-2007,2007Jul,5.34
31-08-2007,2007Aug,5.45
30-09-2007,2007Sep,5.63
31-10-2007,2007Oct,5.57
30-11-2007,2007Nov,5.57
31-12-2007,2007Dec,5.73
31-01-2008,2008Jan,5.59
29-02-2008,2008Feb,5.52
31-03-2008,2008Mar,5.62
30-04-2008,2008Apr,5.71
31-05-2008,2008May,5.72
30-06-2008,2008Jun,5.8
31-07-2008,2008Jul,5.89
31-08-2008,2008Aug,5.88
30-09-2008,2008Sep,6.03
31-10-2008,2008Oct,6.01
30-11-2008,2008Nov,5.46
31-12-2008,2008Dec,4.92
31-01-2009,2009Jan,4.24
28-02-2009,2009Feb,3.88
31-03-2009,2009Mar,3.62
30-04-2009,2009Apr,3.32
31-05-2009,2009May,3.27
30-06-2009,2009Jun,3.26
31-07-2009,2009Jul,3.07
31-08-2009,2009Aug,2.98
30-09-2009,2009Sep,2.87
31-10-2009,2009Oct,2.89
30-11-2009,2009Nov,2.93
31-12-2009,2009Dec,2.85
31-01-2010,2010Jan,2.78
28-02-2010,2010Feb,2.77
31-03-2010,2010Mar,2.75
30-04-2010,2010Apr,2.76
31-05-2010,2010May,2.74
30-06-2010,2010Jun,2.84
31-07-2010,2010Jul,2.88
31-08-2010,2010Aug,2.94
30-09-2010,2010Sep,2.94
31-10-2010,2010Oct,3.01
30-11-2010,2010Nov,3.07
31-12-2010,2010Dec,3.13
31-01-2011,2011Jan,3.13
28-02-2011,2011Feb,3.26
31-03-2011,2011Mar,3.29
30-04-2011,2011Apr,3.45
31-05-2011,2011May,3.44
30-06-2011,2011Jun,3.54
31-07-2011,2011Jul,3.6
31-08-2011,2011Aug,3.6
30-09-2011,2011Sep,3.61
31-10-2011,2011Oct,3.7
30-11-2011,2011Nov,3.64
31-12-2011,2011Dec,3.72
31-01-2012,2012Jan,3.54
29-02-2012,2012Feb,3.47
31-03-2012,2012Mar,3.36
30-04-2012,2012Apr,3.35
31-05-2012,2012May,3.33
30-06-2012,2012Jun,3.28
31-07-2012,2012Jul,3.17
31-08-2012,2012Aug,3.05
30-09-2012,2012Sep,3.03
31-10-2012,2012Oct,3.04
30-11-2012,2012Nov,3.02
31-12-2012,2012Dec,3.02
31-01-2013,2013Jan,3.02
28-02-2013,2013Feb,2.99
31-03-2013,2013Mar,2.98
30-04-2013,2013Apr,3.03
31-05-2013,2013May,2.99
30-06-2013,2013Jun,2.92
31-07-2013,2013Jul,2.99
