DATE,TIME PERIOD,EURIBOR_3MO
31-01-1994,1994Jan,6.91
28-02-1994,1994Feb,6.86
31-03-1994,1994Mar,6.75
30-04-1994,1994Apr,6.57
31-05-1994,1994May,6.24
30-06-1994,1994Jun,6.3
31-07-1994,1994Jul,6.34
31-08-1994,1994Aug,6.43
30-09-1994,1994Sep,6.38
31-10-1994,1994Oct,6.43
30-11-1994,1994Nov,6.4
31-12-1994,1994Dec,6.69
31-01-1995,1995Jan,6.66
28-02-1995,1995Feb,6.59
31-03-1995,1995Mar,7.58
30-04-1995,1995Apr,7.29
31-05-1995,1995May,7.04
30-06-1995,1995Jun,7.08
31-07-1995,1995Jul,6.92
31-08-1995,1995Aug,6.66
30-09-1995,1995Sep,6.5
31-10-1995,1995Oct,6.75
30-11-1995,1995Nov,6.45
31-12-1995,1995Dec,6.32
31-01-1996,1996Jan,5.81
29-02-1996,1996Feb,5.58
31-03-1996,1996Mar,5.5
30-04-1996,1996Apr,5.27
31-05-1996,1996May,5.06
30-06-1996,1996Jun,5.08
31-07-1996,1996Jul,5.06
31-08-1996,1996Aug,5.08
30-09-1996,1996Sep,4.86
31-10-1996,1996Oct,4.69
30-11-1996,1996Nov,4.57
31-12-1996,1996Dec,4.5
31-01-1997,1997Jan,4.39
28-02-1997,1997Feb,4.43
31-03-1997,1997Mar,4.5
30-04-1997,1997Apr,4.39
31-05-1997,1997May,4.3
30-06-1997,1997Jun,4.29
31-07-1997,1997Jul,4.3
31-08-1997,1997Aug,4.36
30-09-1997,1997Sep,4.31
31-10-1997,1997Oct,4.44
30-11-1997,1997Nov,4.49
31-12-1997,1997Dec,4.37
31-01-1998,1998Jan,4.26
28-02-1998,1998Feb,4.24
31-03-1998,1998Mar,4.11
30-04-1998,1998Apr,4.09
31-05-1998,1998May,4.06
30-06-1998,1998Jun,4.02
31-07-1998,1998Jul,3.95
31-08-1998,1998Aug,3.93
30-09-1998,1998Sep,3.93
31-10-1998,1998Oct,3.81
