DATAFLOW,LAST UPDATE,freq,unit,coicop18,geo,TIME_PERIOD,DATE,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2003-01,01-01-2003,59.19,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2003-02,01-02-2003,59.43,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2003-03,01-03-2003,59.77,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2003-04,01-04-2003,59.87,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2003-05,01-05-2003,59.83,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2003-06,01-06-2003,59.9,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2003-07,01-07-2003,59.82,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2003-08,01-08-2003,59.89,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2003-09,01-09-2003,60.12,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2003-10,01-10-2003,60.24,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2003-11,01-11-2003,60.3,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2003-12,01-12-2003,60.48,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2004-01,01-01-2004,60.44,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2004-02,01-02-2004,60.59,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2004-03,01-03-2004,60.95,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2004-04,01-04-2004,61.26,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2004-05,01-05-2004,61.49,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2004-06,01-06-2004,61.53,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2004-07,01-07-2004,61.43,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2004-08,01-08-2004,61.52,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2004-09,01-09-2004,61.61,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2004-10,01-10-2004,61.87,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2004-11,01-11-2004,61.84,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2004-12,01-12-2004,62.04,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2005-01,01-01-2005,61.74,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2005-02,01-02-2005,61.96,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2005-03,01-03-2005,62.38,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2005-04,01-04-2005,62.66,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2005-05,01-05-2005,62.79,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2005-06,01-06-2005,62.86,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2005-07,01-07-2005,62.82,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2005-08,01-08-2005,62.95,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2005-09,01-09-2005,63.27,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2005-10,01-10-2005,63.45,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2005-11,01-11-2005,63.34,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2005-12,01-12-2005,63.52,,
