DATE,TIME_PERIOD,ECB_RATE
1/1/1999,1-Jan-99,3
1/4/1999,4-Jan-99,3
1/22/1999,22-Jan-99,3
4/9/1999,9-Apr-99,2.5
11/5/1999,5-Nov-99,3
2/4/2000,4-Feb-00,3.25
3/17/2000,17-Mar-00,3.5
4/28/2000,28-Apr-00,3.75
6/9/2000,9-Jun-00,4.25
10/15/2008,15-Oct-08,3.75
11/12/2008,12-Nov-08,3.25
12/10/2008,10-Dec-08,2.5
1/21/2009,21-Jan-09,2
3/11/2009,11-Mar-09,1.5
4/8/2009,8-Apr-09,1.25
5/13/2009,13-May-09,1
4/13/2011,13-Apr-11,1.25
7/13/2011,13-Jul-11,1.5
11/9/2011,9-Nov-11,1.25
12/14/2011,14-Dec-11,1
7/11/2012,11-Jul-12,0.75
5/8/2013,8-May-13,0.5
11/13/2013,13-Nov-13,0.25
6/11/2014,11-Jun-14,0.15
9/10/2014,10-Sep-14,0.05
12/9/2015,9-Dec-15,0.05
3/16/2016,16-Mar-16,0.00E+00
9/18/2019,18-Sep-19,0.00E+00
7/27/2022,27-Jul-22,0.5
9/14/2022,14-Sep-22,1.25
11/2/2022,2-Nov-22,2
12/21/2022,21-Dec-22,2.5
2/8/2023,8-Feb-23,3
3/22/2023,22-Mar-23,3.5
5/10/2023,10-May-23,3.75
6/21/2023,21-Jun-23,4
8/2/2023,2-Aug-23,4.25
9/20/2023,20-Sep-23,4.5
6/12/2024,12-Jun-24,4.25
9/18/2024,18-Sep-24,3.65
10/23/2024,23-Oct-24,3.4
12/18/2024,18-Dec-24,3.15
2/5/2025,5-Feb-25,2.9
3/12/2025,12-Mar-25,2.65
4/23/2025,23-Apr-25,2.4
6/11/2025,11-Jun-25,2.15
